acces-list 10 permit 10.1.1.0,Access Control
permt tcp any any eq 22,Access Control
dney ip any any,Access Control
banner motd ^C Unauthorized Access Prohibited ^C,Banner
banner login # Authorized Personnel Only #,Banner
banner exec $ Disconnect immediately if not authorized $,Banner
banner incoming % Welcome to the internal router %,Banner
banner motd @ ALL ACTIONS MONITORED @,Banner
banner login * System is restricted *,Banner
banner exec ! Maintenance window in progress !,Banner
banner motd & Authorized users only &,Banner
banner login ^ Keep out ^,Banner
banner exec ~ Use of this system is logged ~,Banner
ban motd ^C Unauthorized Access ^C,Banner
ban logi # Authorized Personnel #,Banner
ban exec $ Disconnect immediately $,Banner
ban inc % Welcome %,Banner
ban motd @ MONITORED @,Banner
ban logi * Restricted *,Banner
baner motd ^C Unauthorized ^C,Banner
bannr login # Keep out #,Banner
banner execc $ Disconnect $,Banner
baner inc % Welcome %,Banner
interface GigabitEthernet0/1,Interface
description UPLINK TO CORE,Interface
ip address 10.1.1.1 255.255.255.0,Interface
shutdown,Interface
no shutdown,Interface
speed 1000,Interface
duplex full,Interface
switchport mode access,Interface
switchport mode trunk,Interface
ipv6 address 2001:db8::1/64,Interface
int gi0/1,Interface
desc UPLINK TO CORE,Interface
ip add 10.1.1.1 255.255.255.0,Interface
shut,Interface
no shut,Interface
sw mo acc,Interface
interfac GigabitEthernet0/1,Interface
ip adress 10.1.1.1 255.255.255.0,Interface
swtchport mode trunk,Interface
no shudown,Interface
enable secret 5 $1$mERr$hx5rVt7rPNoS4wqbXKX7m0,Password Policy
enable password cisco,Password Policy
service password-encryption,Password Policy
security passwords min-length 10,Password Policy
username admin privilege 15 secret 9 $9$ab12,Password Policy
password encryption aes,Password Policy
login block-for 120 attempts 3 within 60,Password Policy
login delay 10,Password Policy
enable algorithm-type scrypt secret cisco,Password Policy
username cisco password 0 cisco,Password Policy
en sec 5 $1$mERr$hx5,Password Policy
en pass cisco,Password Policy
srv pass-enc,Password Policy
sec pass min-len 10,Password Policy
usr admin priv 15 sec 9 $9$ab12,Password Policy
logi block-for 120 att 3 with 60,Password Policy
enabe secret 5 $1$mERr,Password Policy
servce password-encryption,Password Policy
securty passwords min-len 10,Password Policy
enab pass cisco,Password Policy
ntp server 192.168.1.10,NTP
ntp master 3,NTP
ntp authenticate,NTP
ntp authentication-key 1 md5 mysecret,NTP
ntp trusted-key 1,NTP
ntp source Loopback0,NTP
ntp update-calendar,NTP
ntp peer 10.1.1.1,NTP
ntp clock-period 17179869,NTP
ntp max-associations 10,NTP
ntp serv 192.168.1.10,NTP
ntp auth,NTP
ntp auth-key 1 md5 mysecret,NTP
ntp trus 1,NTP
ntp src lo0,NTP
ntp up,NTP
ntp sever 192.168.1.10,NTP
ntp authenicate,NTP
ntp srouce Loopback0,NTP
ntp mster 3,NTP
aaa new-model,AAA
aaa authentication login default group radius local,AAA
aaa authorization exec default group tacacs+ local,AAA
aaa accounting exec default start-stop group radius,AAA
radius-server host 10.1.1.10 auth-port 1812 acct-port 1813,AAA
tacacs-server host 10.2.2.2,AAA
aaa session-id common,AAA
aaa accounting network default start-stop group tacacs+,AAA
aaa authentication dot1x default group radius,AAA
aaa group server radius MY_RADIUS,AAA
aaa new-mod,AAA
aaa auth login def group rad loc,AAA
aaa author exec def group tac loc,AAA
aaa acc exec def start-stop group rad,AAA
rad-serv host 10.1.1.10,AAA
tac-serv host 10.2.2.2,AAA
aa new-model,AAA
aaa authenication login default,AAA
aaa acounting exec default,AAA
radius-sever host 10.1.1.10,AAA
vlan 10,VLAN
name SALES_VLAN,VLAN
vlan 20,VLAN
name ENGINEERING,VLAN
vlan 99,VLAN
name MANAGEMENT,VLAN
vtp mode transparent,VLAN
vtp domain CORPNET,VLAN
vtp version 2,VLAN
vlan dot1q tag native,VLAN
vl 10,VLAN
na SALES_VLAN,VLAN
vl 20,VLAN
vtp mo tran,VLAN
vtp dom CORPNET,VLAN
vl dot1q tag nat,VLAN
valn 10,VLAN
nam MANAGEMENT,VLAN
vtp mod transparent,VLAN
nme ENGINEERING,VLAN
